Purchase Order Number,Budget Code,Budget Amount (SAR),Project Name,Invoice Num,Invoice Date,Invoice Amount (SAR),Payment Amount (SAR)
SO-00381,CS-2023-2222027-300010000," 2,960,695.00 ",InfraAdvance: Infrastructure Enhancement in SEZs,KSA-/SAJ/2023/3592,19-Jul-23," 187,622.50 "," 187,622.50 "
SO-00381,CS-2023-2222027-300010000," 2,960,695.00 ",InfraAdvance: Infrastructure Enhancement in SEZs,KSA-/SAJ/2023/3804,25-Oct-23," 44,180.70 ",
SO-00283,INI-ISD-CY-22-DT," 17,500,000.00 ",EcoTrade: Sustainable Economic Zones Initiative,INV219,25-Oct-22," 998,200.00 "," 998,200.00 "
SO-00283,INI-ISD-CY-22-DT," 17,500,000.00 ",EcoTrade: Sustainable Economic Zones Initiative,INV258,7-Nov-22," 998,200.00 "," 998,200.00 "
SO-00283,INI-ISD-CY-22-DT," 17,500,000.00 ",EcoTrade: Sustainable Economic Zones Initiative,INV337,26-Mar-23," 665,850.00 "," 665,850.00 "
SO-00283,INI-ISD-CY-22-DT," 17,500,000.00 ",EcoTrade: Sustainable Economic Zones Initiative,INV502,4-Sep-23," 1,759,500.00 "," 1,759,500.00 "
SO-00283,INI-ISD-CY-22-DT," 17,500,000.00 ",EcoTrade: Sustainable Economic Zones Initiative,INV718,23-Nov-23," 569,250.00 "," 569,250.00 "
SO-00366,MEGA-8-475008000715," 22,843,121.00 ",GatewayGrowth: The SEZ Expansion Strategy,5015681,6-Jun-23," 2,647,534.63 "," 2,647,534.63 "
SO-00366,MEGA-8-475008000715," 22,843,121.00 ",GatewayGrowth: The SEZ Expansion Strategy,5025518,28-Aug-23," 471,041.15 "," 471,041.15 "
SO-00367,MEGA-8-375001000715," 30,021,727.00 ",ProsperPoint: Economic Zone Development Project,920000004,30-Apr-23," 986,343.15 "," 986,343.15 "
SO-00367,MEGA-8-375001000715," 30,021,727.00 ",ProsperPoint: Economic Zone Development Project,920000009,31-Jul-23," 422,718.50 "," 422,718.50 "
SO-00278,INI-ISD-CY-22-DT," 17,500,000.00 ",HorizonZone: Future-Ready SEZ Planning,43353221,3-Sep-23," 744,406.50 "," 744,406.50 "
SO-00278,INI-ISD-CY-22-DT," 17,500,000.00 ",HorizonZone: Future-Ready SEZ Planning,43354465,13-Nov-23," 744,406.50 ",
SO-00278,INI-ISD-CY-22-DT," 17,500,000.00 ",HorizonZone: Future-Ready SEZ Planning,KSA42352882,13-Nov-22," 302,726.00 "," 302,726.00 "
SO-00278,INI-ISD-CY-22-DT," 17,500,000.00 ",HorizonZone: Future-Ready SEZ Planning,KSA42353081,24-Nov-22," 945,530.00 "," 945,530.00 "
SO-00278,INI-ISD-CY-22-DT," 17,500,000.00 ",HorizonZone: Future-Ready SEZ Planning,KSA43350878,12-Mar-23," 649,635.00 "," 649,635.00 "
SO-00278,INI-ISD-CY-22-DT," 17,500,000.00 ",HorizonZone: Future-Ready SEZ Planning,KSA43351912,28-May-23," 574,770.00 "," 574,770.00 "
SO-00304,MEGA-8-375001000715," 30,021,727.00 ",InvestInZone: SEZ Investment Attraction Program,43353222,3-Sep-23," 202,998.00 "," 202,998.00 "
SO-00304,MEGA-8-375001000715," 30,021,727.00 ",InvestInZone: SEZ Investment Attraction Program,43353502,20-Sep-23," 744,406.50 "," 744,406.50 "
SO-00304,MEGA-8-375001000715," 30,021,727.00 ",InvestInZone: SEZ Investment Attraction Program,44350448,30-Jan-24," 744,406.50 ",
SO-00304,MEGA-8-375001000715," 30,021,727.00 ",InvestInZone: SEZ Investment Attraction Program,KSA43350879,12-Mar-23," 1,440,467.00 "," 1,440,467.00 "
SO-00304,MEGA-8-375001000715," 30,021,727.00 ",InvestInZone: SEZ Investment Attraction Program,KSA43352102,8-Jun-23," 856,612.00 "," 856,612.00 "
SO-00361,MEGA-8-375001000715," 30,021,727.00 ",SmartZone Solutions: Tech-Driven SEZ Upgrades,INV450,18-Jul-23," 1,070,355.14 "," 1,070,355.14 "
SO-00361,MEGA-8-375001000715," 30,021,727.00 ",SmartZone Solutions: Tech-Driven SEZ Upgrades,INV565,9-Oct-23," 356,785.05 "," 356,785.05 "
SO-00444,MEGA-4.0.14," 13,330,688.00 ",TradeSphere: Global Trade Facilitation Project,INV649,2-Nov-23," 412,501.55 "," 412,501.55 "
SO-00444,MEGA-4.0.14," 13,330,688.00 ",TradeSphere: Global Trade Facilitation Project,INV760,29-Jan-24," 825,003.10 ",
SO-00458,MEGA-4.0.14," 13,330,688.00 ",ZoneRenew: SEZ Modernization Initiative,INV644,2-Nov-23," 1,456,072.55 "," 1,456,072.55 "
SO-00458,MEGA-4.0.14," 13,330,688.00 ",ZoneRenew: SEZ Modernization Initiative,INV762,29-Jan-24," 398,072.50 ",
SO-00374,MEGA-4.0.3," 7,212,141.00 ",CapitalConnect: SEZ Finance and Investment Hub,INV451,18-Jul-23," 1,048,503.35 "," 1,048,503.35 "
SO-00374,MEGA-4.0.3," 7,212,141.00 ",CapitalConnect: SEZ Finance and Investment Hub,INV620,25-Oct-23," 88,747.66 "," 88,747.66 "
CO-00115,MEGA-4.0.1," 2,875,000.00 ",GreenZone: Eco-Friendly Economic Zone Project,5034878,5-Oct-23," 2,875,000.00 "," 2,875,000.00 "
